"","propertyToResolve","resolveTo","uid","format.status.","format.Exiftool.7.74.","format.Jhove.1.5.","format.file.utility.5.03.","format.Droid.3.0.","format.NLNZ.Metadata.Extractor.3.4GA.","format.ffident.0.2.","format.OIS.XML.Metadata.0.2.","mimetype.status.","mimetype.Exiftool.7.74.","mimetype.Jhove.1.5.","mimetype.file.utility.5.03.","mimetype.Droid.3.0.","mimetype.NLNZ.Metadata.Extractor.3.4GA.","mimetype.ffident.0.2.","mimetype.OIS.XML.Metadata.0.2.","puid.status.","puid.Droid.3.0.","format_version.status.","format_version.Exiftool.7.74.","format_version.Jhove.1.5.","format_version.file.utility.5.03.","format_version.Droid.3.0.","format_version.NLNZ.Metadata.Extractor.3.4GA.","size.status.","lastmodified.status.","lastmodified.Exiftool.7.74.","file_path.status.","file_path.OIS.File.Information.0.1.","file_name.status.","file_name.OIS.File.Information.0.1.","checksum_md5.status.","checksum_md5.OIS.File.Information.0.1.","created.status.","created.Exiftool.7.74.","created.NLNZ.Metadata.Extractor.3.4GA.","lastmodified_fs.status.","lastmodified_fs.OIS.File.Information.0.1.","creating_application_name.status.","creating_application_name.Exiftool.7.74.","creating_application_name.NLNZ.Metadata.Extractor.3.4GA.","wellformed.status.","valid.status.","message.status.","message.Jhove.1.5.","created_year.status.","created_year.C3PO.0.6.","markupbasis.status.","markupbasis.Jhove.1.5.","markupBasisVersion.status.","markupBasisVersion.Jhove.1.5.","pagecount.status.","is_rightsmanaged.status.","is_protected.status.","content_type.status.","content_type.C3PO.0.6.","file_extension.status.","file_extension.C3PO.0.6.","charset.status.","charset.Exiftool.7.74.","charset.Jhove.1.5.","charset.file.utility.5.03.","charset.NLNZ.Metadata.Extractor.3.4GA.","linebreak.status.","linebreak.Jhove.1.5.","linebreak.file.utility.5.03.","title.status.","title.Exiftool.7.74.","title.NLNZ.Metadata.Extractor.3.4GA.","author.status.","author.Exiftool.7.74.","author.NLNZ.Metadata.Extractor.3.4GA.","creating_application_version.status.","creating_application_version.Exiftool.7.74.","wordcount.status.","charactercount.status.","language.status.","language.NLNZ.Metadata.Extractor.3.4GA.","creating_os.status.","creating_os.file.utility.5.03.","scanner_softwarename.status.","scanner_softwarename.Exiftool.7.74."
"1","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893772.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:58 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893772.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893772.ppt","SINGLE_RESULT","4a18c13ae2d89980681747678813400a","SINGLE_RESULT","Fri Apr 24 09:13:12 CEST 1998","","SINGLE_RESULT","Sat Jan 28 04:48:58 CET 2012","","","","","","","","SINGLE_RESULT","1998","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"2","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893071.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:59 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893071.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893071.ppt","SINGLE_RESULT","72844614b4cb55f8c34713a0275c723a","SINGLE_RESULT","Mon Dec 04 18:45:30 CET 2000","","SINGLE_RESULT","Sat Jan 28 04:48:59 CET 2012","","","","","","","","SINGLE_RESULT","2000","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"3","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893535.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","Microsoft Excel Format","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","application/vnd.ms-excel","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:46 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893535.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893535.ppt","SINGLE_RESULT","c29c38c22103e00914fdb38c5ad297c4","SINGLE_RESULT","Tue Feb 26 15:34:43 CET 2002","","SINGLE_RESULT","Sat Jan 28 04:48:46 CET 2012","","","","","","","","SINGLE_RESULT","2002","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"4","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893652.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:47:57 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893652.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893652.ppt","SINGLE_RESULT","ea0cebbce4ef4746b34f553242c7ab69","SINGLE_RESULT","Fri Nov 17 14:29:05 CET 2006","","SINGLE_RESULT","Sat Jan 28 04:47:57 CET 2012","","","","","","","","SINGLE_RESULT","2006","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"5","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893756.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:50 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893756.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893756.ppt","SINGLE_RESULT","a51bc225c078a254943bbe4bd5c4bfd9","SINGLE_RESULT","Wed Jan 23 20:46:02 CET 2002","","SINGLE_RESULT","Sat Jan 28 04:48:50 CET 2012","","","","","","","","SINGLE_RESULT","2002","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"6","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893900.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:41 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893900.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893900.ppt","SINGLE_RESULT","83eb2e32d141cebd48ccb351902c3aa5","SINGLE_RESULT","Tue Mar 16 19:11:12 CET 2004","","SINGLE_RESULT","Sat Jan 28 04:48:41 CET 2012","","","","","","","","SINGLE_RESULT","2004","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"7","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893387.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:15 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893387.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893387.ppt","SINGLE_RESULT","3a3dc7a89fd13069dcffc19a791f816e","SINGLE_RESULT","Fri Sep 12 15:53:45 CEST 2003","","SINGLE_RESULT","Sat Jan 28 04:48:15 CET 2012","","","","","","","","SINGLE_RESULT","2003","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"8","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893070.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:46 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893070.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893070.ppt","SINGLE_RESULT","3b549c91415590e2f14f75156f6ca417","SINGLE_RESULT","Thu Mar 08 21:22:56 CET 2001","","SINGLE_RESULT","Sat Jan 28 04:48:46 CET 2012","","","","","","","","SINGLE_RESULT","2001","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"9","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893036.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:49:03 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893036.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893036.ppt","SINGLE_RESULT","097f2b689e46320304db0201edd8c6e3","SINGLE_RESULT","Fri Jan 07 15:35:51 CET 2005","","SINGLE_RESULT","Sat Jan 28 04:49:03 CET 2012","","","","","","","","SINGLE_RESULT","2005","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"10","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893557.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:56 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893557.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893557.ppt","SINGLE_RESULT","2dedd054868fe5a4ca5d54ded0cf25ca","SINGLE_RESULT","Sat Aug 17 05:07:14 CEST 2002","","SINGLE_RESULT","Sat Jan 28 04:48:56 CET 2012","","","","","","","","SINGLE_RESULT","2002","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
